time,Mag
1987.5666027397262,8.8
1987.7043835616441,8.0
1987.7071232876715,8.0
1987.715279452055,8.5
1987.7317808219182,8.0
1987.7427282191775,8.6
1987.7427397260276,8.0
1987.7563679452055,8.5
1987.7564383561646,8.0
1987.7599999999998,8.6
1987.7794520547945,8.6
1987.7939726027391,8.1
1987.7973799999995,8.4
1987.8038356164382,8.4
1987.8150684931506,8.3
1987.8175342465752,8.4
1987.8287671232877,8.3
1987.8304109589044,8.4
1987.8309589041091,8.6
1987.8569863013693,8.1
1987.8613698630134,8.6
1987.8712328767124,8.4
1987.8713887671238,8.1
1987.8715068493152,8.4
1987.872602739726,8.5
1987.8772602739732,8.4
1987.8778082191777,8.5
1987.8794520547945,8.6
1987.8824769863018,8.3
1987.8863284931506,8.2
1987.890410958904,7.8
1987.8906849315072,8.4
1987.8984643835613,8.2
1987.9013698630138,8.5
1987.9097334246571,8.1
1987.9104109589036,8.0
1987.9107671232882,8.3
1987.9356164383562,8.4
1987.9378082191777,8.2
1987.946547945206,8.3
1987.9530745205482,8.1
1987.9712054794527,8.3
1987.9764383561642,7.7
1987.9778082191779,7.9
1987.9812054794525,8.4
1987.9887671232875,7.7
1987.9945205479453,8.1
1987.9972602739726,7.9
1987.9975342465757,8.1
1988.000273224044,8.1
1988.003005464481,8.1
1988.014890710383,8.2
1988.016120218579,7.9
1988.0240437158466,8.2
1988.0259016393443,8.2
1988.0273224043715,8.2
1988.0278688524595,7.9
1988.02868852459,7.9
1988.0295081967208,8.2
1988.0297814207647,7.8
1988.032299180328,7.7
1988.035792349727,7.9
1988.0368306010928,8.2
1988.039344262295,7.4
1988.0407103825135,8.2
1988.0412568306012,7.9
1988.045081967213,7.9
1988.0464480874316,7.7
1988.0467213114757,8.4
1988.051366120218,8.0
1988.0524590163939,7.8
1988.0551912568312,8.2
1988.0551912568312,8.2
1988.058743169399,8.2
1988.0606557377055,8.2
1988.062021857924,8.2
1988.0622950819668,8.2
1988.0642076502731,8.3
1988.065027322404,8.2
1988.0669398907103,7.9
1988.0689071038257,8.2
1988.0704918032782,8.2
1988.070765027322,7.9
1988.0716120218578,8.2
1988.072295081967,8.2
1988.0732240437153,8.2
1988.0759562841524,8.2
1988.0792349726776,8.2
1988.079918032787,8.2
1988.0896174863383,8.2
1988.0923497267754,8.2
1988.0950819672125,8.2
1988.0959016393444,7.9
1988.0978142076497,8.2
1988.100546448087,8.2
